what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370485993459
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370485995468
started,bundle,org.eclipse.ant.ui,3.5.100.v20110510,"org.eclipse.ant.ui",1370485995546
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370485997150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486012043
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486018060
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486020775
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486037053
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486049212
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370486060932
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486061352
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486124680
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486130150
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486137791
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486138357
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486153725
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370486170599
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486171033
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486171738
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486171945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486259071
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486260879
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486264000
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486265448
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486297102
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486297808
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486342241
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1370486369375
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1370486407184
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370486411102
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1370486430715
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370486434346
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1370486443737
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370486450372
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1370486474952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486478151
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486479660
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1370486479820
